tbl,Year,quarter,citymarketid,city,markets,cur_passengers,cur_fare,cur_yield,distance,ly_passengers,ly_fare,ly_yield,ly_distance,Geocoded_City,tbl2pk
Table 2,2017,1,32600,"Little Rock, AR",8,135560,248.17,30.21,821.5,138220,237.86,28.39,837.7,"Little Rock, AR
(34.748745, -92.275105)",2017132600
Table 2,2017,1,32575,"Los Angeles, CA (Metropolitan Area)",68,11814540,206.93,15.95,1297.4,11350590,214.21,16.4,1306.5,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)",2017132575
Table 2,2017,1,32467,"Miami, FL (Metropolitan Area)",58,7174710,185.5,15.03,1233.9,7093750,190.5,15.29,1245.5,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)",2017132467
Table 2,2017,1,32457,"San Francisco, CA (Metropolitan Area)",48,8541470,219.54,17.62,1246.2,8530810,226.49,18.08,1252.6,"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)",2017132457
Table 2,2017,1,32337,"Indianapolis, IN",26,1227080,208.32,21.12,986.4,1223300,205.67,20.53,1001.6,"Indianapolis, IN
(39.76845, -86.156212)",2017132337
Table 2,2017,1,32211,"Las Vegas, NV",67,6296210,185.19,15.2,1218,6145060,185.58,15.12,1227.8,"Las Vegas, NV
(36.169202, -115.140597)",2017132211
Table 2,2017,1,31986,"Grand Rapids, MI",14,332900,213.55,19.05,1121.2,317810,215.74,18.89,1142.3,"Grand Rapids, MI
(47.925705, -97.036068)",2017131986
Table 2,2017,1,31884,"Spokane, WA",9,373670,159.42,24.58,648.5,337830,163.33,24.47,667.6,"Spokane, WA
(47.658999, -117.425022)",2017131884
Table 2,2017,1,31714,"Fort Myers, FL",29,2032590,195.33,16.99,1149.5,2126240,194.1,16.89,1149.4,"Fort Myers, FL
(40.253979, -103.801495)",2017131714
Table 2,2017,1,31703,"New York City, NY (Metropolitan Area)",73,13223040,222.74,17.51,1272.1,12613640,236.75,18.4,1286.5,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)",2017131703
Table 2,2017,1,31650,"Minneapolis/St. Paul, MN",44,3424540,209.24,18.79,1113.3,3293610,224.12,19.91,1125.9,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)",2017131650
Table 2,2017,1,31454,"Orlando, FL",58,6551410,176.51,15.76,1120.2,6426920,180.06,16.08,1119.9,"Orlando, FL
(28.538331, -81.378879)",2017131454
Table 2,2017,1,31453,"Houston, TX",50,3962630,235.69,23.18,1016.9,3807240,234.17,23.05,1015.7,"Houston, TX
(29.760803, -95.369506)",2017131453
Table 2,2017,1,31423,"Des Moines, IA",10,224340,210.09,19.75,1063.5,221890,224.13,20.9,1072.6,"Des Moines, IA
(41.588822, -93.620309)",2017131423
Table 2,2017,1,31295,"Detroit, MI",34,2826840,209.58,20.01,1047.5,2693290,218.2,20.67,1055.5,"Detroit, MI
(42.332916, -83.047853)",2017131295
Table 2,2017,1,31267,"Dayton, OH",8,126730,211.44,28.16,750.8,148090,217.17,27.3,795.4,"Dayton, OH
(39.760982, -84.192203)",2017131267
Table 2,2017,1,31136,"Jacksonville, FL",18,673660,222.24,23.76,935.3,682400,217.33,22.55,963.6,"Jacksonville, FL
(30.325968, -81.65676)",2017131136
Table 2,2017,1,31123,"St. Louis, MO",35,1615950,219.67,23.86,920.7,1636980,213.52,22.89,932.8,"St. Louis, MO
(38.630276, -90.200309)",2017131123
Table 2,2017,1,31066,"Columbus, OH",22,1022650,214.99,23.06,932.4,997880,216.15,23.34,926,"Columbus, OH
(39.962649, -82.996216)",2017131066
Table 2,2017,1,31057,"Charlotte, NC",39,1899130,230.53,27.15,848.9,1782460,245.87,27.7,887.5,"Charlotte, NC
(35.222936, -80.840161)",2017131057
Table 2,2017,1,30994,"Charleston, SC",10,350310,194.44,26.5,733.6,329530,193.26,25.34,762.6,"Charleston, SC
(32.77647, -79.931027)",2017130994
Table 2,2017,1,30977,"Chicago, IL",65,8390050,184.69,18.58,994.2,8122690,188.57,18.87,999.3,"Chicago, IL
(41.775002, -87.696388)",2017130977
Table 2,2017,1,30852,"Washington, DC (Metropolitan Area)",71,7954500,210.82,19.68,1071.5,7658750,212,19.39,1093.4,"Washington, DC (Metropolitan Area)
(38.892062, -77.019912)",2017130852
Table 2,2017,1,30792,"Buffalo, NY",14,609760,174.19,17.81,978.1,592950,184.3,19.03,968.5,"Buffalo, NY
(39.945422, -78.64671)",2017130792
Table 2,2017,1,30721,"Boston, MA (Metropolitan Area)",46,5538190,207,16.64,1244,5452120,216,17.17,1258,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)",2017130721
Table 2,2017,1,30713,"Boise, ID",11,394650,157.15,27.81,565.1,359030,161.62,28.46,567.8,"Boise, ID
(43.597772, -83.884521)",2017130713
Table 2,2017,1,30693,"Nashville, TN",33,1698120,211.4,24.19,874,1539730,219.31,24.73,886.7,"Nashville, TN
(36.166687, -86.779932)",2017130693
Table 2,2017,1,30647,"Cleveland, OH (Metropolitan Area)",25,1261180,202.91,19.5,1040.5,1322500,205.02,19.33,1060.8,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)",2017130647
Table 2,2017,1,30615,"El Paso, TX",9,257180,221.66,30.45,728,255380,217.73,29.79,730.8,"El Paso, TX
(31.76006, -106.492257)",2017130615
Table 2,2017,1,30599,"Birmingham, AL",10,245350,236.79,29.92,791.5,249010,231.05,28.79,802.5,"Birmingham, AL
(33.522859, -86.807705)",2017130599
Table 2,2017,1,30559,"Seattle, WA",44,4120240,188.73,14.55,1297.4,3879100,191.81,14.68,1306.9,"Seattle, WA
(47.603229, -122.33028)",2017130559
